observation_date,A229RX0
1994-01-01,29694
1994-02-01,29725
1994-03-01,29793
1994-04-01,29763
1994-05-01,30077
1994-06-01,29997
1994-07-01,29991
1994-08-01,29994
1994-09-01,30092
1994-10-01,30346
1994-11-01,30316
1994-12-01,30425
1995-01-01,30495
1995-02-01,30529
1995-03-01,30585
1995-04-01,30330
1995-05-01,30607
1995-06-01,30666
1995-07-01,30701
1995-08-01,30686
1995-09-01,30749
1995-10-01,30750
1995-11-01,30805
1995-12-01,30820
1996-01-01,30836
1996-02-01,31048
1996-03-01,31119
1996-04-01,30901
1996-05-01,31260
1996-06-01,31414
1996-07-01,31295
1996-08-01,31336
1996-09-01,31372
1996-10-01,31333
1996-11-01,31384
1996-12-01,31459
1997-01-01,31519
1997-02-01,31576
1997-03-01,31693
1997-04-01,31683
1997-05-01,31789
1997-06-01,31857
1997-07-01,31944
1997-08-01,32073
1997-09-01,32121
1997-10-01,32245
1997-11-01,32424
1997-12-01,32584
1998-01-01,32843
1998-02-01,33029
1998-03-01,33195
1998-04-01,33271
1998-05-01,33377
1998-06-01,33533
1998-07-01,33555
1998-08-01,33624
1998-09-01,33683
1998-10-01,33692
1998-11-01,33794
1998-12-01,33825
1999-01-01,33985
1999-02-01,34075
1999-03-01,34076
1999-04-01,33932
1999-05-01,33957
1999-06-01,34037
1999-07-01,34064
1999-08-01,34170
1999-09-01,34089
1999-10-01,34240
1999-11-01,34430
1999-12-01,34666
2000-01-01,34865
2000-02-01,34973
2000-03-01,35037
2000-04-01,35184
2000-05-01,35300
2000-06-01,35367
2000-07-01,35525
2000-08-01,35712
2000-09-01,35721
2000-10-01,35792
2000-11-01,35777
2000-12-01,35821
2001-01-01,35962
2001-02-01,35977
2001-03-01,36059
2001-04-01,35956
2001-05-01,35862
2001-06-01,35843
2001-07-01,36347
2001-08-01,36917
2001-09-01,36569
2001-10-01,35890
2001-11-01,35903
2001-12-01,35943
2002-01-01,36670
2002-02-01,36704
2002-03-01,36704
2002-04-01,36800
2002-05-01,36918
2002-06-01,36997
2002-07-01,36872
2002-08-01,36846
2002-09-01,36851
2002-10-01,36918
2002-11-01,36991
2002-12-01,37066
2003-01-01,37007
2003-02-01,36857
2003-03-01,36909
2003-04-01,37075
2003-05-01,37320
2003-06-01,37388
2003-07-01,37806
2003-08-01,38033
2003-09-01,37569
2003-10-01,37680
2003-11-01,37879
2003-12-01,37884
2004-01-01,37840
2004-02-01,37884
2004-03-01,38011
2004-04-01,38111
2004-05-01,38272
2004-06-01,38266
2004-07-01,38318
2004-08-01,38401
2004-09-01,38385
2004-10-01,38362
2004-11-01,38208
2004-12-01,39581
2005-01-01,38086
2005-02-01,38070
2005-03-01,38180
2005-04-01,38273
2005-05-01,38408
2005-06-01,38454
2005-07-01,38460
2005-08-01,38487
2005-09-01,38318
2005-10-01,38499
2005-11-01,38709
2005-12-01,38798
2006-01-01,39162
2006-02-01,39306
2006-03-01,39428
2006-04-01,39388
2006-05-01,39332
2006-06-01,39350
2006-07-01,39299
2006-08-01,39231
2006-09-01,39406
2006-10-01,39550
2006-11-01,39680
2006-12-01,39838
2007-01-01,39803
2007-02-01,39906
2007-03-01,40007
2007-04-01,40037
2007-05-01,40029
2007-06-01,39974
2007-07-01,39983
2007-08-01,39962
2007-09-01,39988
2007-10-01,39923
2007-11-01,39857
2007-12-01,39993
2008-01-01,40020
2008-02-01,40007
2008-03-01,39992
2008-04-01,39815
2008-05-01,41742
2008-06-01,40660
2008-07-01,40009
2008-08-01,39752
2008-09-01,39812
2008-10-01,40080
2008-11-01,40396
2008-12-01,40182
2009-01-01,40393
2009-02-01,39975
2009-03-01,39952
2009-04-01,40177
2009-05-01,40735
2009-06-01,39966
2009-07-01,39759
2009-08-01,39649
2009-09-01,39732
2009-10-01,39579
2009-11-01,39652
2009-12-01,39807
2010-01-01,39798
2010-02-01,39792
2010-03-01,39924
2010-04-01,40244
2010-05-01,40520
2010-06-01,40506
2010-07-01,40509
2010-08-01,40598
2010-09-01,40562
2010-10-01,40541
2010-11-01,40554
2010-12-01,40771
2011-01-01,40938
2011-02-01,41033
2011-03-01,40901
2011-04-01,40807
2011-05-01,40731
2011-06-01,40868
2011-07-01,40995
2011-08-01,40945
2011-09-01,40857
2011-10-01,40861
2011-11-01,40806
2011-12-01,41150
2012-01-01,41346
2012-02-01,41520
2012-03-01,41614
2012-04-01,41749
2012-05-01,41710
2012-06-01,41634
2012-07-01,41296
2012-08-01,41144
2012-09-01,41404
2012-10-01,41656
2012-11-01,42180
2012-12-01,43190
2013-01-01,40645
2013-02-01,40526
2013-03-01,40625
2013-04-01,40733
2013-05-01,40900
2013-06-01,40878
2013-07-01,40806
2013-08-01,40862
2013-09-01,41014
2013-10-01,40818
2013-11-01,40867
2013-12-01,40905
2014-01-01,41070
2014-02-01,41263
2014-03-01,41464
2014-04-01,41597
2014-05-01,41704
2014-06-01,41825
2014-07-01,41877
2014-08-01,42029
2014-09-01,42123
2014-10-01,42293
2014-11-01,42494
2014-12-01,42763
2015-01-01,42984
2015-02-01,43118
2015-03-01,42980
2015-04-01,43049
2015-05-01,43096
2015-06-01,43093
2015-07-01,43161
2015-08-01,43222
2015-09-01,43302
2015-10-01,43347
2015-11-01,43308
2015-12-01,43487
2016-01-01,43650
2016-02-01,43670
2016-03-01,43645
2016-04-01,43529
2016-05-01,43470
2016-06-01,43470
2016-07-01,43610
2016-08-01,43631
2016-09-01,43700
2016-10-01,43752
2016-11-01,43843
2016-12-01,43942
2017-01-01,44105
2017-02-01,44216
2017-03-01,44378
2017-04-01,44457
2017-05-01,44743
2017-06-01,44741
2017-07-01,44841
2017-08-01,44868
2017-09-01,44925
2017-10-01,45030
2017-11-01,45075
2017-12-01,45136
2018-01-01,45390
2018-02-01,45479
2018-03-01,45624
2018-04-01,45703
2018-05-01,45835
2018-06-01,45998
2018-07-01,46173
2018-08-01,46312
2018-09-01,46284
2018-10-01,46373
2018-11-01,46476
2018-12-01,47038
2019-01-01,47113
2019-02-01,47172
2019-03-01,47174
2019-04-01,47059
2019-05-01,47034
2019-06-01,47102
2019-07-01,47137
2019-08-01,47363
2019-09-01,47438
2019-10-01,47477
2019-11-01,47603
2019-12-01,47334
2020-01-01,47843
2020-02-01,48011
2020-03-01,47351
2020-04-01,54349
2020-05-01,51588
2020-06-01,51380
2020-07-01,51816
2020-08-01,49783
2020-09-01,50047
2020-10-01,49844
2020-11-01,49230
2020-12-01,49354
2021-01-01,54648
2021-02-01,50097
2021-03-01,61570
2021-04-01,52193
2021-05-01,50679
2021-06-01,50430
2021-07-01,50737
2021-08-01,50602
2021-09-01,50005
2021-10-01,50000
2021-11-01,49827
