observation_date,A229RX0
1994-03-31,29737.333333333332
1994-06-30,29945.666666666668
1994-09-30,30025.666666666668
1994-12-31,30362.333333333332
1995-03-31,30536.333333333332
1995-06-30,30534.333333333332
1995-09-30,30712.0
1995-12-31,30791.666666666668
1996-03-31,31001.0
1996-06-30,31191.666666666668
1996-09-30,31334.333333333332
1996-12-31,31392.0
1997-03-31,31596.0
1997-06-30,31776.333333333332
1997-09-30,32046.0
1997-12-31,32417.666666666668
1998-03-31,33022.333333333336
1998-06-30,33393.666666666664
1998-09-30,33620.666666666664
1998-12-31,33770.333333333336
1999-03-31,34045.333333333336
1999-06-30,33975.333333333336
1999-09-30,34107.666666666664
1999-12-31,34445.333333333336
2000-03-31,34958.333333333336
2000-06-30,35283.666666666664
2000-09-30,35652.666666666664
2000-12-31,35796.666666666664
2001-03-31,35999.333333333336
2001-06-30,35887.0
2001-09-30,36611.0
2001-12-31,35912.0
2002-03-31,36692.666666666664
2002-06-30,36905.0
2002-09-30,36856.333333333336
2002-12-31,36991.666666666664
2003-03-31,36924.333333333336
2003-06-30,37261.0
2003-09-30,37802.666666666664
2003-12-31,37814.333333333336
2004-03-31,37911.666666666664
2004-06-30,38216.333333333336
2004-09-30,38368.0
2004-12-31,38717.0
2005-03-31,38112.0
2005-06-30,38378.333333333336
2005-09-30,38421.666666666664
2005-12-31,38668.666666666664
2006-03-31,39298.666666666664
2006-06-30,39356.666666666664
2006-09-30,39312.0
2006-12-31,39689.333333333336
2007-03-31,39905.333333333336
2007-06-30,40013.333333333336
2007-09-30,39977.666666666664
2007-12-31,39924.333333333336
2008-03-31,40006.333333333336
2008-06-30,40739.0
2008-09-30,39857.666666666664
2008-12-31,40219.333333333336
2009-03-31,40106.666666666664
2009-06-30,40292.666666666664
2009-09-30,39713.333333333336
2009-12-31,39679.333333333336
2010-03-31,39838.0
2010-06-30,40423.333333333336
2010-09-30,40556.333333333336
2010-12-31,40622.0
2011-03-31,40957.333333333336
2011-06-30,40802.0
2011-09-30,40932.333333333336
2011-12-31,40939.0
2012-03-31,41493.333333333336
2012-06-30,41697.666666666664
2012-09-30,41281.333333333336
2012-12-31,42342.0
2013-03-31,40598.666666666664
2013-06-30,40837.0
2013-09-30,40894.0
2013-12-31,40863.333333333336
2014-03-31,41265.666666666664
2014-06-30,41708.666666666664
2014-09-30,42009.666666666664
2014-12-31,42516.666666666664
2015-03-31,43027.333333333336
2015-06-30,43079.333333333336
2015-09-30,43228.333333333336
2015-12-31,43380.666666666664
2016-03-31,43655.0
2016-06-30,43489.666666666664
2016-09-30,43647.0
2016-12-31,43845.666666666664
2017-03-31,44233.0
2017-06-30,44647.0
2017-09-30,44878.0
2017-12-31,45080.333333333336
2018-03-31,45497.666666666664
2018-06-30,45845.333333333336
2018-09-30,46256.333333333336
2018-12-31,46629.0
2019-03-31,47153.0
2019-06-30,47065.0
2019-09-30,47312.666666666664
2019-12-31,47471.333333333336
2020-03-31,47735.0
2020-06-30,52439.0
2020-09-30,50548.666666666664
2020-12-31,49476.0
2021-03-31,55438.333333333336
2021-06-30,51100.666666666664
2021-09-30,50448.0
2021-12-31,49804.666666666664
2022-03-31,48331.333333333336
2022-06-30,48036.0
2022-09-30,48712.666666666664
2022-12-31,49057.0
2023-03-31,50250.666666666664
2023-06-30,50567.333333333336
2023-09-30,50615.666666666664
2023-12-31,50882.333333333336
2024-03-31,51462.0
2024-06-30,51473.0
2024-09-30,51393.666666666664
2024-12-31,51630.0
